,index,Borough,Distance,ID,Latitude,Longitude,Name,Ratings,Label
0,0,Bronx,1483,4f5ce789e4b0a4baa3d5dbb6,40.86329786974066,-73.83556764832478,Planet Fitness,7.8,9
1,1,Bronx,154,53d1b12d498ea039475dec73,40.84973909541106,-73.84194912982557,LA Fitness,8.6,5
2,2,Bronx,2371,503568d0e4b02de9367f934e,40.83553298240013,-73.86045854599777,Blink Fitness Parkchester,7.3,5
3,3,Bronx,1848,4e595e67b3ad589d1a25c8db,40.85671688449596,-73.86075784360689,Bronx House Fitness,7.069565217391304,5
4,4,Bronx,469,4bb23d9935f0c9b6ba01bb83,40.85394190070912,-73.843595864553,Dolphin Fitness,7.5,5
5,5,Bronx,6257,55f751ca498eacc0307d1cfe,40.87714687429521,-73.90583697267095,Blink Fitness Riverdale,7.9,10
6,6,Bronx,6355,4aa00bcdf964a520103e20e3,40.8740876399889,-73.90913665215993,Planet Fitness,6.1,10
7,7,Bronx,838,462d15a3f964a520e7451fe3,40.84829046054853,-73.83087490241945,Planet Fitness,7.4,9
8,8,Bronx,2325,4c2a235d97d00f47fa7e42ea,40.86781839234004,-73.82498414619204,24 Hour Fitness,5.8,9
9,9,Bronx,6622,4b43d659f964a52091eb25e3,40.880592396333974,-73.90825497205688,24 Hour Fitness,5.4,10
10,10,Bronx,4741,4b9c08adf964a5201c4336e3,40.86261880907894,-73.89439013170312,Planet Fitness,6.4,10
11,11,Bronx,5505,5890f531d8f3e93aa5d17139,40.820161116277944,-73.892044833124,Blink Fitness Hunts Point,7.6,10
12,12,Bronx,148,51b8527e498e4099a6ecc95e,40.851318359375,-73.8417739868164,dolphin fitness club,7.069565217391304,5
13,13,Bronx,1784,5846047c45c3ed2a35af5fd0,40.863416284792926,-73.82787363726145,XSports Fitness,7.069565217391304,9
14,14,Bronx,4970,4bf56dceff90c9b6065c5628,40.86259253376029,-73.89723268856744,24 Hour Fitness,5.8,10
15,15,Bronx,6273,4cf6ae55d3a8a1cd71a9d243,40.87670526507199,-73.90637207670373,Astral Fitness & Wellness Center,7.069565217391304,10
16,16,Bronx,4986,52af0e3c11d2fb9a346ce0f7,40.85939854209763,-73.89844296398725,Blink Fitness Fordham,7.8,10
17,17,Bronx,1390,4c98a1174804a143bee6ec0e,40.838018684178934,-73.8413951857843,Star Fitness,7.3,5
18,18,Bronx,4408,5b871800ccad6b002c8fb9c9,40.8460457142857,-73.8924285714286,Blink Fitness East Tremont,7.4,10
19,19,Bronx,1972,4b104dfdf964a5206b6d23e3,40.83448670039758,-73.85046687441152,Planet Fitness,6.3,5
20,20,Bronx,2343,4e87e08d93ad69fee81d7c9d,40.85428219377084,-73.86778531376146,Planet Fitness,7.8,5
21,21,Bronx,731,538750dd498e2dcf83dfe3af,40.844056935345684,-73.83859529664026,LA Fitness Offices,7.069565217391304,9
22,22,Bronx,3939,4e318bcfae6085c3ad1be8e9,40.8623374773037,-73.88449727987287,McGinley Fitness Center,7.069565217391304,10
23,23,Bronx,1867,4e57cb0ce4cd6acbd760ad92,40.861427307128906,-73.85722351074219,Fitness Beckys,7.069565217391304,5
24,24,Bronx,3789,5ac7c4af67f62b7f2934cdeb,40.87891,-73.86517,Blink Fitness Gun Hill,7.5,5
25,25,Bronx,4968,4df91cfbd4c02ad7341ad45b,40.89199559349656,-73.81869914701822,Omni Health and Fitness Complex,7.069565217391304,9
26,26,Bronx,5876,5632f45c498ef690c483ecda,40.831254,-73.905382,Retro Fitness,6.9,10
27,27,Bronx,773,4ce9f3764cdf8eececb550d1,40.846392795821544,-73.83297910951312,Bronx Body Fitness,7.069565217391304,9
28,28,Bronx,4467,4c4d70b351c2c928071bc79c,40.861418551442696,-73.89146133625549,24 Hour Fitness,6.0,10
29,29,Bronx,4838,5cf7f63cb9b37b002c7b4d0f,40.8738947,-73.8888343,Blink Fitness,7.069565217391304,10
30,30,Bronx,4947,5aa6c184f870fd6b90041291,40.89229756193752,-73.82047365234841,24 Hour Fitness,7.1,9
31,31,Bronx,2739,4cad1ff436fa6dcbb0c7e478,40.82983068903419,-73.82271989280379,Temple Fitness Personal Training Studio,7.069565217391304,9
32,32,Bronx,4994,52af0dc711d21e1625464d63,40.859481537820926,-73.89851990466835,Blink Fitness,7.5,10
33,33,Bronx,6823,4e595f90b3ad589d1a25ca82,40.890450054272655,-73.90186429023743,MC Fitness,7.069565217391304,10
34,34,Bronx,1872,4d264370915fa093c3c8e809,40.843634,-73.82009,Insanity Fitness Center,7.069565217391304,9
35,35,Bronx,6840,542c31e1498e76106c273492,40.81947,-73.910522,Blink Fitness St Ann's,7.4,1
36,36,Bronx,1804,4f1f7295e4b02792a6fa02d3,40.84635452382291,-73.81968136530611,Studio Fitness,7.069565217391304,9
37,37,Bronx,2023,4d8a0f1b76e1236a3db91143,40.83825139,-73.82263055,Personal Fitness and Training,7.069565217391304,9
38,38,Bronx,1982,53c01530498e90ad46a66256,40.86729049682617,-73.83260345458984,bally's total fitness bartow ave,7.069565217391304,9
39,39,Bronx,1992,53dab416498ef8cefb4ee84e,40.868298971682364,-73.84270178716248,Destination Fitness by Jason,7.069565217391304,5
40,40,Bronx,7013,55be8666498e40dc8b09486c,40.79263206094859,-73.80743964723588,Life Health & Fitness,7.069565217391304,9
41,41,Bronx,2153,5165fe08e4b07a7ada2c0b31,40.86642280334741,-73.85490588709791,LA Fitness Ridge Hill Mall,7.069565217391304,5
42,42,Bronx,2291,4f39c8e2e4b0eebd6bcbec29,40.836298,-73.860118,Virtual Fitness,7.069565217391304,5
43,43,Bronx,2441,4f578787e4b04e88c1a8de41,40.84294891028851,-73.86763754623315,Victory's Fitness Deck,7.069565217391304,5
44,44,Bronx,2838,4d3a1962687ca35d190a86c4,40.83072911027886,-73.86171795847389,Daro's Extreme Fitness,7.069565217391304,5
45,45,Bronx,2766,55a6e85f498e85674714338b,40.86428524392595,-73.86772368455462,Team DeMarco Fitness,7.069565217391304,5
46,46,Bronx,7035,4cd0df2048b83704be94f5de,40.79252418581218,-73.80709842343096,Harmony Yoga and Fitness,7.069565217391304,9
47,47,Bronx,2799,4c8aadce1eafb1f75a857c35,40.82912210578108,-73.82286348935816,Temple Fitness Bootcamps,7.069565217391304,9
48,48,Bronx,2727,4d0968b2611ff04d4b2820fb,40.82991049881442,-73.82281179461059,Temple Fitness Bootcamps,7.069565217391304,9
49,49,Bronx,3507,52c98f4a11d2c66768a85397,40.88005458795726,-73.82602833097476,Community Fitness,7.069565217391304,9
50,0,Manhattan,1657,542c32d3498ea03417f1d9fd,40.80169329700382,-73.94751367168016,Blink Fitness 116th,8.4,17
51,1,Manhattan,1452,49c7fef6f964a520de571fe3,40.78526946430776,-73.9758449792862,Crunch Fitness - 83rd Street,7.6,3
52,2,Manhattan,1273,4b561591f964a52093ff27e3,40.78234716485186,-73.94870988344918,Synergy Fitness Clubs,5.4,17
53,3,Manhattan,2363,51b35586498e4fcfa012f235,40.8103756580925,-73.95158309542242,Blink Fitness 125th,8.3,17
54,4,Manhattan,3475,519bc1a4abd811c9d322bb06,40.767316447578764,-73.98804076831651,Planet Fitness,7.8,3
55,5,Manhattan,2115,4a7aec69f964a5209fe91fe3,40.80907115720434,-73.96099636826304,Dodge Physical Fitness Center - Columbia University,6.2,17
56,6,Manhattan,3669,566f5873498eafd7d08b9d82,40.75763333915622,-73.96746920999588,Blink Fitness 54th,8.0,3
57,7,Manhattan,3346,4a6f67e3f964a52018d61fe3,40.76024460802107,-73.96461067907435,Crunch Fitness - 59th Street,8.1,17
58,8,Manhattan,4705,50a91239e4b0740a18a36b4d,40.74953986350761,-73.97558768117811,Blink Fitness Murray Hill,8.3,3
59,9,Manhattan,5222,49fa353af964a520da6d1fe3,40.74503265187938,-73.97710514599794,Crunch Fitness - 34th Street,8.8,3
60,10,Manhattan,2159,5c33d55a4c954c002c847ee9,40.777730446089386,-73.97958273175125,Orangetheory Fitness,7.1,3
61,11,Manhattan,6541,570bc860498e2f86f52e0d79,40.741034942498544,-74.00255584448868,Google NYC Fitness Center,8.9,3
62,12,Manhattan,3503,4fe44ad9e4b04404cb0faeee,40.76422022925652,-73.98350268602366,Crunch Fitness - 54th Street,6.9,3
63,13,Manhattan,4909,529688b811d2e101fca0bf89,40.75828673911626,-73.91947194497969,Blink Fitness Astoria,7.9,1
64,14,Manhattan,4569,53cec931498ec8c5096689d4,40.753856167614536,-73.98531274170297,Blink Fitness Bryant Park,7.3,3
65,15,Manhattan,998,4b463702f964a5204e1a26e3,40.78112251157619,-73.95931708908422,Core Fitness Inc,7.547368421052633,17
66,16,Manhattan,2481,54bfbce8498e98016396c2cf,40.79522034247128,-73.9311723364798,Planet Fitness,7.3,1
67,17,Manhattan,4760,4a36f3c9f964a5200e9e1fe3,40.75303229920576,-73.98800846627046,Crunch Fitness - 38th Street,8.4,3
68,18,Manhattan,5734,52bf27ec498eb7568414b6a9,40.74706701528366,-73.9972370060236,Blink Fitness Chelsea,7.8,3
69,19,Manhattan,3620,4ad5d824f964a520b70321e3,40.758358784171584,-73.9692892108215,24 Hour Fitness,7.5,3
70,20,Manhattan,1408,4b05f2bcf964a52063e622e3,40.7909801092395,-73.9431564769077,Bally's Total Fitness,5.7,17
71,21,Manhattan,4804,4a8108a0f964a52095f61fe3,40.762933829205416,-73.915524033342,Planet Fitness,6.3,1
72,22,Manhattan,4252,5c3d34fc51950e002ce316b4,40.76263538716942,-73.92474360752024,Orangetheory Fitness,7.4,1
73,23,Manhattan,3793,4afd5450f964a520552722e3,40.7592043792817,-73.97885282098204,NBC Health & Fitness Center,8.5,3
74,24,Manhattan,5104,517558207ab44a8fcd7553f9,40.83453683493639,-73.94494187948865,Planet Fitness,7.5,17
75,25,Manhattan,1398,4c8f52811664b1f7ea3da72f,40.801179107507686,-73.96762158656662,BodyStrength Fitness,7.8,17
76,26,Manhattan,5624,4eda64ced5fb8f213a5d740e,40.746400310548594,-73.99335751484645,Planet Fitness,6.3,3
77,27,Manhattan,4311,4b186023f964a520bbd123e3,40.76182444552933,-73.9248584115549,Club Fitness,8.5,1
78,28,Manhattan,4727,4eb5c125f9f40c39c596bb4a,40.75683627951094,-73.99471875886772,Mark Fisher Fitness - Ninja Clubhouse,9.2,3
79,29,Manhattan,5353,524dfe3611d26976a6d62277,40.748096766656,-73.99078509800604,Blink Fitness Penn Station,8.2,3
80,30,Manhattan,5196,5672e6a5498ea77d7c6aafe4,40.74679016051969,-73.98288534895833,305 Fitness MIDTOWN,9.3,3
81,31,Manhattan,1627,4bd879adf645c9b62307a8e0,40.783426272698755,-73.97701961288358,Grassroots Fitness Project,7.547368421052633,3
82,32,Manhattan,2081,4f3b87457716dc2f0c9b2bb9,40.771396101000754,-73.96033119539194,Remorca Fitness,7.547368421052633,17
83,33,Manhattan,7795,4ed3ab360aafd18692b5fa2a,40.74352355577056,-74.02889077762161,Planet Fitness,5.9,13
84,34,Manhattan,4418,4a843826f964a520f2fb1fe3,40.775485219713715,-73.91108572070418,The Rock Health & Fitness Club,7.5,1
85,35,Manhattan,4767,5a90410429551356c1f2ff0f,40.749005866915496,-73.97580392634383,Orangetheory Fitness - E 39th St,7.2,3
86,36,Manhattan,5682,4a5a0495f964a520a4b91fe3,40.74369315012712,-73.98795254143488,24 Hour Fitness,7.2,3
87,37,Manhattan,3831,52ae49df498e9cc9cac45029,40.75683371751805,-73.97157850619652,DoubleTree Metropolitan Fitness Center,7.547368421052633,3
88,38,Manhattan,3091,5a58f4e223a2e6177af677a6,40.8063554,-73.9895602,Tilton Fitness Edgewater,7.547368421052633,3
89,39,Manhattan,3179,546d0827498e207ac48a2ee6,40.76549380405404,-73.97900557775937,Fitness Center,7.547368421052633,3
90,40,Manhattan,5199,4bafcc2cf964a5208e213ce3,40.77076901983599,-73.90366666139928,Matrix Fitness Club,8.2,1
91,41,Manhattan,644,5aa1a964bd897e585ab44e60,40.785346865774116,-73.9554324779809,BodMod Fitness,7.547368421052633,17
92,42,Manhattan,3921,4af21f0bf964a52002e621e3,40.763814286526625,-73.92883289310444,Synergy Fitness Clubs,6.0,1
93,43,Manhattan,7082,4d56bce5e7f1a1cda66d0aa5,40.78940671279888,-74.04385808957291,LA Fitness,6.6,13
94,44,Manhattan,1040,51117a0b16488bb8b0bf9df6,40.79202807404827,-73.97190854142404,"X 93 Fitness, LLC",7.547368421052633,3
95,45,Manhattan,4669,5a20a6cba30619630c1dc0a4,40.8169,-73.91722,Blink Fitness In The Hub,7.5,1
96,0,Staten Island,655,4ba94f57f964a520941d3ae3,40.5834814701279,-74.15736140804067,Ultimate fitness and wellness,6.972727272727273,4
97,1,Staten Island,3606,4c86d2a2110176b09e3db340,40.588187618192954,-74.19180726782817,LA Fitness,6.4,12
98,2,Staten Island,4125,4bbbd997e5b0d13a30a86e7c,40.60033700281632,-74.19305460639735,Planet Fitness,6.1,12
99,3,Staten Island,1628,4c744a603adda143e73f04af,40.5768549051716,-74.16678762731426,Nautilus Women Fitness And Aerobic Center,6.972727272727273,4
100,4,Staten Island,5971,4ea1b88bb6347b99677b1acc,40.57834797339095,-74.21991081668882,RWJ Rahway Fitness & Wellness Center at Carteret,8.5,12
101,5,Staten Island,4699,4f1615c6e4b0472049667c71,40.62535281099798,-74.15638421980653,Planet Fitness,7.9,4
102,6,Staten Island,2621,519d0544454abaf70382ffdf,40.57502718162267,-74.12065744400024,MRG Fitness Inc.,6.972727272727273,8
103,7,Staten Island,1594,57e2772a498e69ce86c536e7,40.588869981439586,-74.16706225003998,Orangetheory Fitness,6.972727272727273,4
104,8,Staten Island,1517,4fb67a34d5fb2447a9b33ec2,40.58956413498796,-74.16565396441183,Retro Fitness,5.5,4
105,9,Staten Island,6139,4c287cddce3fc9288f2d6d88,40.60535077101491,-74.082943113109,Dolphin Fitness Club,6.8,0
106,10,Staten Island,1198,50af93dde4b0d8a9eff1a1c0,40.586520071781486,-74.1631926475149,Transformation Fitness Studio,6.972727272727273,4
107,11,Staten Island,3021,532df06a498e4e5349154e45,40.55986667454659,-74.16727596254569,LA Fitness,8.0,4
108,12,Staten Island,3440,4d2ba0b7c406721e66e48db6,40.579781,-74.109196,Nyomiz Fun and Fitness Studio,6.972727272727273,8
109,13,Staten Island,3723,58dc30a837da1d64073437e4,40.56789100324659,-74.11062136480751,Retro Fitness,6.9,8
110,14,Staten Island,3214,4fb17d4ae4b0abe3968d901a,40.581335391493184,-74.11168539233284,Believe Fitness,6.972727272727273,8
111,15,Staten Island,4649,4b6af98bf964a520f9e92be3,40.624786020329964,-74.14164998173763,P.I. Fitness,6.972727272727273,4
112,16,Staten Island,2294,4f1df157e4b0ab7783e8f1d8,40.56299400189247,-74.14634762037865,American Karate And Fitness,6.972727272727273,4
113,17,Staten Island,2026,5625dfb8498e2702849b3a3d,40.576669995766714,-74.12736728650816,"Changes Nutritional Therapy, Fitness and Wellness Center",6.972727272727273,8
114,18,Staten Island,3044,4b9c07d5f964a520c94236e3,40.5733898995574,-74.11612455668086,New Dorp Fitness,6.972727272727273,8
115,19,Staten Island,4711,58ef45dbee628b4eddf3e781,40.62504927804894,-74.13927625287252,LA Fitness,7.1,4
116,20,Staten Island,3427,5494145a498edcbb09a8fe30,40.57169021248702,-74.1121444800515,Limitless Fitness Studios,6.972727272727273,8
117,21,Staten Island,2982,4ee6ae0e6da14e7d9bd6f53d,40.57272364854878,-74.11728312755228,"Richmond Rehab Physical Therapy, Health & Fitness ""ZUMBA !""",6.972727272727273,8
